item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q105159427,NormalRank,Q6581097,true,false,,,,
Q105705367,,,,false,,,,
Q105706437,,,,false,,,,
Q105864285,NormalRank,Q6581097,true,false,,,,
Q1062006,NormalRank,Q6581097,true,false,,,,
Q10855116,NormalRank,Q6581097,true,false,,,,
Q10855805,NormalRank,Q6581072,true,false,,,,
Q110456,NormalRank,Q6581097,true,true,false,false,false,true
Q11261360,NormalRank,Q6581097,true,false,,,,
Q114088685,NormalRank,Q6581097,true,false,,,,
Q114593868,,,,false,,,,
Q114593869,,,,false,,,,
Q114593870,,,,false,,,,
Q114593871,,,,false,,,,
Q114593873,,,,false,,,,
Q114593874,,,,false,,,,
Q114593876,,,,false,,,,
Q114593877,,,,false,,,,
Q114593878,,,,false,,,,
Q114593879,,,,false,,,,
Q114593880,NormalRank,Q6581097,true,false,,,,
Q114593881,,,,false,,,,
Q114593883,,,,false,,,,
Q114593884,,,,false,,,,
Q114593885,,,,false,,,,
Q114593886,,,,false,,,,
Q114593887,,,,false,,,,
Q114593888,,,,false,,,,
Q114594317,,,,false,,,,
Q114594333,,,,false,,,,
Q114594345,,,,false,,,,
Q114594370,,,,false,,,,
Q114595445,NormalRank,Q6581097,true,false,,,,
Q114595747,,,,false,,,,
Q114595858,NormalRank,Q6581097,true,false,,,,
Q11732843,NormalRank,Q6581097,true,false,,,,
Q12593548,NormalRank,Q6581097,true,false,,,,
Q12594370,NormalRank,Q6581097,true,false,,,,
Q12594419,NormalRank,Q6581097,true,true,false,true,false,false
Q12594422,NormalRank,Q6581097,true,false,,,,
Q12594451,NormalRank,Q6581097,true,false,,,,
Q12597103,NormalRank,Q6581097,true,false,,,,
Q12616929,NormalRank,Q6581097,true,false,,,,
Q16169323,NormalRank,Q6581097,true,false,,,,
Q16177115,NormalRank,Q6581097,true,false,,,,
Q16179930,,,,false,,,,
Q16181667,NormalRank,Q6581097,true,true,false,false,false,true
Q16904817,NormalRank,Q6581097,true,true,false,false,false,true
Q16905280,NormalRank,Q6581097,true,false,,,,
Q16905281,NormalRank,Q6581097,true,false,,,,
Q16905320,NormalRank,Q6581097,true,true,false,false,false,true
Q16907639,NormalRank,Q6581097,true,true,false,false,false,true
Q1866337,NormalRank,Q6581097,true,false,,,,
Q21651765,NormalRank,Q6581097,true,false,,,,
Q2194140,NormalRank,Q6581072,true,false,,,,
Q25035961,NormalRank,Q6581097,true,false,,,,
Q29841145,NormalRank,Q6581097,true,false,,,,
Q30436217,NormalRank,Q6581072,true,true,false,false,false,true
Q310875,NormalRank,Q6581097,true,true,false,false,false,true
Q310889,NormalRank,Q6581097,true,true,false,false,false,true
Q31180000,NormalRank,Q6581097,true,true,false,false,false,true
Q3183240,NormalRank,Q6581097,true,false,,,,
Q335164,NormalRank,Q6581097,true,true,false,false,false,true
Q3434055,NormalRank,Q6581097,true,false,,,,
Q39670004,NormalRank,Q6581097,true,false,,,,
Q447898,NormalRank,Q6581097,true,false,,,,
Q483800,NormalRank,Q6581097,true,false,,,,
Q494061,NormalRank,Q6581097,true,true,false,false,false,true
Q494800,NormalRank,Q6581097,true,true,false,false,false,true
Q55708195,NormalRank,Q6581097,true,false,,,,
Q55734042,NormalRank,Q6581097,true,true,false,false,false,true
Q56818408,NormalRank,Q6581097,true,false,,,,
Q56818426,,,,false,,,,
Q56818689,NormalRank,Q6581097,true,false,,,,
Q56819749,,,,false,,,,
Q56820402,NormalRank,Q6581097,true,true,false,false,false,true
Q56820559,,,,false,,,,
Q56825043,NormalRank,Q6581097,true,true,false,false,false,true
Q57063516,,,,false,,,,
Q57064523,,,,false,,,,
Q57064533,,,,false,,,,
Q57069172,,,,false,,,,
Q57071116,NormalRank,Q6581097,true,true,false,false,false,true
Q57075870,,,,false,,,,
Q63773435,NormalRank,Q6581097,true,true,false,false,false,true
Q63774198,,,,false,,,,
Q63775001,NormalRank,Q6581072,true,false,,,,
Q63775066,,,,false,,,,
Q63776707,,,,false,,,,
Q63776950,,,,false,,,,
Q63777382,,,,false,,,,
Q63777865,,,,false,,,,
Q705608,NormalRank,Q6581097,true,true,false,false,false,true
Q710692,NormalRank,Q6581097,true,false,,,,
Q714509,NormalRank,Q6581097,true,false,,,,
Q9310191,NormalRank,Q6581097,true,false,,,,
Q9310192,NormalRank,Q6581097,true,false,,,,
Q9353635,NormalRank,Q6581097,true,false,,,,
Q97162070,NormalRank,Q6581097,true,false,,,,
Q97165506,NormalRank,Q6581097,true,true,true,false,false,false
Q10665,NormalRank,Q6581097,true,true,false,false,false,true
Q10665,NormalRank,Q6581097,true,true,true,true,false,false
Q56226,NormalRank,Q6581097,true,true,false,false,false,true
Q58214,NormalRank,Q6581097,true,true,false,false,false,true
