who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
35506541,,,,,,,,,0
35506541,Q30944956,Chairman of the Standing Committee of the Supreme People's Assembly,2019-04-11,,Q110456,Kim Yong-nam,,,1
35506541,State Affairs Commission of North Korea,First Vice President of the State Affairs Commission,2019-04-11,,,,,,2
35506541,State Affairs Commission of North Korea,Vice President of the State Affairs Commission,2016-06-29,2019-04-11,,New Position,,,3
35506541,Organization and Guidance Department,Director of the Organization and Guidance Department,2017-10,2019-04-10,Q56226,Kim Jong-un,Ri Man-gon,Ri Man-gon,4
35506541,Central Military Commission of the Workers' Party of Korea,Vice Chairman of the Central Military Commission,2012-04-11,2014-04,Ri Yong-ho (general),Ri Yong-ho & Kim Jong-un,Hwang Pyong-so,Hwang Pyong-so,5
35506541,Central Military Commission of the Workers' Party of Korea,Vice Chairman of the Central Military Commission,2012-04-11,2014-04,Q56226,Ri Yong-ho & Kim Jong-un,Hwang Pyong-so,Hwang Pyong-so,6
35506541,National Defence Commission of North Korea,Vice Chairman of the National Defence Commission,2014-04-09,2014-09-25,Jang Song-thaek,Jang Song-thaek,Ri Yong-mu,Ri Yong-mu & O Kuk-ryol,7
35506541,National Defence Commission of North Korea,Vice Chairman of the National Defence Commission,2014-04-09,2014-09-25,Jang Song-thaek,Jang Song-thaek,O Kuk-ryol,Ri Yong-mu & O Kuk-ryol,8
35506541,General Political Bureau of the Korean People's Army,Director of the General Political Bureau of the Korean People's Army,2012-04-12,2014-04-26,Jo Myong-rok,Jo Myong-rok,Hwang Pyong-so,Hwang Pyong-so,9
