item,itemLabel,position,positionLabel,startDate,endDate
Q25035961,Kim Tok-hun,,Premier of the Cabinet,2021-01-18,
,Pak Jong-gun,,Vice Premier of the Cabinet,2021-01-18,
,Jon Hyon-chol,,Vice Premier of the Cabinet,2021-01-18,
,Kim Song-ryong,,Vice Premier of the Cabinet,2021-01-18,
,Ri Song-hak,,Vice Premier of the Cabinet,2021-01-18,
,Pak Hun,,Vice Premier of the Cabinet,2021-01-18,
,Ju Chol-gyu,,Vice Premier of the Cabinet,2021-01-18,
,Pak Jong-gun,,Chairman of the State Planning Commission,2021-01-18,
,Ju Chol-gyu,,Minister of Agriculture,2021-01-18,
Q55708195,Ri Son-gwon,,Minister of Foreign Affairs,2021-01-18,
,Kim Yu-il,,Minister of Electric Power Industry,2021-01-18,
,Jon Hak-chol,,Minister of Coal Industry,2021-01-18,
,Kim Chung-gol,,Minister of Metallurgical Industry,2021-01-18,
,Ma Jong-son,,Minister of Chemical Industry,2021-01-18,
,Jang Chun-song,,Minister of Railways,2021-01-18,
Q16904817,Kang Jong-gwan,,Minister of Land and Maritime Transport,2021-01-18,
,Kim Chol-su,,Minister of Mining Industry,2021-01-18,
,Kim Chung-song,,Minister of Natural Resources Development,2021-01-18,
,Ko Kil-son,,Minister of Oil Industry,2021-01-18,
,Han Ryong-guk,,Minister of Forestry,2021-01-18,
,Yang Sung-ho,,Minister of Machine-Building Industry,2021-01-18,
Q63773435,Kang Chol-gu,,Minister of Shipbuilding,2021-01-18,
Q57071116,Wang Chang-uk,,Minister of Nuclear Power Industry,2021-01-18,
,Kim Jae-song,,Minister of Electronics Industry,2021-01-18,
,Ju Yong-il,,Minister of Posts and Telecommunications,2021-01-18,
,So Jong-jin,,Minister of Construction and Building-Materials Industry,2021-01-18,
Q21651765,Jang Kyong-il,,Minister of Light Industry,2021-01-18,
,Jo Yong-chol,,Minister of Local Industry,2021-01-18,
,Ri Kang-son,,Minister of Consumer Goods Industry,2021-01-18,
,Song Chun-sop,,Minister of Fisheries,2021-01-18,
,Ko Jong-bom,,Minister of Finance,2021-01-18,
,Jin Kum-song,,Minister of Labour,2021-01-18,
,Yun Jong-ho,,Minister of External Economic Relations,2021-01-18,
,Ri Chung-gil,,Chairman of the State Commission of Science and Technology,2021-01-18,
,Kim Sung-jin,,President of the State Academy of Sciences,2021-01-18,
,Kim Kyong-jun,,Minister of Land and Environment,2021-01-18,
,Im Kyong-jae,,Minister of Urban Management,2021-01-18,
,Mun Ung-jo,,Minister of Food Procurement and Administration,2021-01-18,
,Pak Hyok-chol,,Minister of Commerce,2021-01-18,
,Ri Hyok-gwon,,Minister of State Construction Control,2021-01-18,
Q16907639,Kim Sung-du,,Chairman of the Education Commission,2021-01-18,
,Ri Kuk-chol,,Minister of Higher Education under the Education Commission,2021-01-18,
,Choe Kyong-chol,,Minister of Public Health,2021-01-18,
,Sung Jong-gyu,,Minister of Culture,2021-01-18,
,Kim Il-guk,,Minister of Physical Culture and Sports,2021-01-18,
,Chae Song-hak,,President of the Central Bank,2021-01-18,
,Ri Chol-san,,Director of the Central Bureau of Statistics,2021-01-18,
,Kim Kum-chol,,Secretary-General of the Cabinet,2021-01-18,
