@@,item,itemlabel,startdate,enddate
+++,,Jo Chang-dok,1998-09-05,2003-09-03
+++,,Sin Il-nam,2002-04-29,2003-09-03
+++,,Jo Pyong-ju,2010-06-07,2014-04-09
+++,,Kim In-sik,2012-04-13,2014-04-09
+++,,Ri Sung-ho,2012-04-13,2013-04-01
+++,,Ko In-ho,2016-06-29,2019-04-11
+++,,Ri Ju-o,2016-06-29,2019-04-11
+++,,Ko In-ho,2019-04-11,
+++,,Ri Ju-o,2019-04-11,
+++,,Kim Il-chol,2019-12-31,
->,Q63776707,Yang Sung-ho,2020-04->2020-04-12,
---,Q56820559,Pak Hun,2021-01-18,
---,Q12597103,Pak Jong-gun,2021-01-18,
---,Q114593877,Kim Song-ryong,2021-01-18,
---,Q114593874,Ju Chol-gyu,2021-01-18,
---,Q105706437,Jon Hyon-chol,2021-01-18,
---,Q105159427,Ri Song-hak,2021-01-18,
---,Q114595445,Jon Sung Guk,2022-06-10,
